country_of_origin,Continent,Category,Rating
Mexico,North America,aftertaste,7.75
Brazil,Americas,aftertaste,7.5
Brazil,Americas,aftertaste,7.5
Ethiopia,Africa,aftertaste,7.92
Guatemala,Americas,aftertaste,7.75
Taiwan,Asia,aftertaste,7.75
Thailand,Asia,aftertaste,7.75
Colombia,Americas,aftertaste,7.75
Guatemala,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.5
China,Asia,aftertaste,7.58
Colombia,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.83
Colombia,Americas,aftertaste,7.83
"Tanzania, United Republic Of",Africa,aftertaste,7.75
"Tanzania, United Republic Of",Africa,aftertaste,7.75
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.75
United States (Hawaii),North America,aftertaste,7.92
Mexico,North America,aftertaste,7.67
Mexico,North America,aftertaste,7.75
Mexico,North America,aftertaste,7.67
Uganda,Africa,aftertaste,7.58
Guatemala,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Costa Rica,Americas,aftertaste,7.67
Guatemala,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.5
Nicaragua,Americas,aftertaste,7.83
Brazil,Americas,aftertaste,7.75
Costa Rica,Americas,aftertaste,7.67
Ethiopia,Africa,aftertaste,7.58
"Tanzania, United Republic Of",Africa,aftertaste,7.75
Colombia,Americas,aftertaste,7.67
Guatemala,Americas,aftertaste,7.67
Kenya,Africa,aftertaste,7.75
Brazil,Americas,aftertaste,7.75
Guatemala,Americas,aftertaste,7.67
El Salvador,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.75
Guatemala,Americas,aftertaste,7.5
Uganda,Africa,aftertaste,7.5
Indonesia,Asia,aftertaste,7.56
Colombia,Americas,aftertaste,7.42
Taiwan,Asia,aftertaste,7.67
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.67
Guatemala,Americas,aftertaste,7.67
United States (Hawaii),North America,aftertaste,7.83
Mexico,North America,aftertaste,7.67
Ethiopia,Africa,aftertaste,7.83
Costa Rica,Americas,aftertaste,7.67
Ethiopia,Africa,aftertaste,7.67
Honduras,Americas,aftertaste,7.75
Guatemala,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.83
Guatemala,Americas,aftertaste,7.42
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.5
Ethiopia,Africa,aftertaste,7.5
Brazil,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.67
Kenya,Africa,aftertaste,7.5
Thailand,Asia,aftertaste,8.17
Kenya,Africa,aftertaste,7.67
Uganda,Africa,aftertaste,7.58
Thailand,Asia,aftertaste,7.58
Brazil,Americas,aftertaste,7.58
Mexico,North America,aftertaste,7.58
Thailand,Asia,aftertaste,7.5
Brazil,Americas,aftertaste,7.67
Taiwan,Asia,aftertaste,7.83
Colombia,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.5
Taiwan,Asia,aftertaste,7.58
Colombia,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.67
Taiwan,Asia,aftertaste,7.92
Colombia,Americas,aftertaste,7.67
Mexico,North America,aftertaste,7.58
Mexico,North America,aftertaste,7.58
Mexico,North America,aftertaste,7.83
Colombia,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.5
Costa Rica,Americas,aftertaste,7.75
Guatemala,Americas,aftertaste,7.5
Taiwan,Asia,aftertaste,7.5
Brazil,Americas,aftertaste,7.42
Taiwan,Asia,aftertaste,7.67
Ethiopia,Africa,aftertaste,7.67
Brazil,Americas,aftertaste,7.58
Costa Rica,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.33
Ecuador,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.5
Mexico,North America,aftertaste,7.67
Mexico,North America,aftertaste,7.5
Brazil,Americas,aftertaste,7.58
Thailand,Asia,aftertaste,7.58
Thailand,Asia,aftertaste,7.58
Ethiopia,Africa,aftertaste,7.58
Kenya,Africa,aftertaste,7.5
Brazil,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Taiwan,Asia,aftertaste,7.58
Colombia,Americas,aftertaste,7.5
China,Asia,aftertaste,7.67
Colombia,Americas,aftertaste,7.5
Uganda,Africa,aftertaste,7.58
United States (Puerto Rico),North America,aftertaste,7.83
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.75
United States (Hawaii),North America,aftertaste,7.67
Mexico,North America,aftertaste,7.58
Guatemala,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.25
United States (Hawaii),North America,aftertaste,7.75
Brazil,Americas,aftertaste,7.5
Kenya,Africa,aftertaste,7.67
Honduras,Americas,aftertaste,7.67
Nicaragua,Americas,aftertaste,7.67
Brazil,Americas,aftertaste,7.58
Taiwan,Asia,aftertaste,7.33
Costa Rica,Americas,aftertaste,7.67
Thailand,Asia,aftertaste,7.58
Colombia,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.67
Guatemala,Americas,aftertaste,7.42
Guatemala,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.83
Guatemala,Americas,aftertaste,7.5
Mexico,North America,aftertaste,7.5
Indonesia,Asia,aftertaste,7.58
Guatemala,Americas,aftertaste,7.33
United States (Hawaii),North America,aftertaste,7.92
Brazil,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
China,Asia,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Mexico,North America,aftertaste,7.58
Ethiopia,Africa,aftertaste,7.58
Uganda,Africa,aftertaste,7.42
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.5
Taiwan,Asia,aftertaste,7.75
Colombia,Americas,aftertaste,7.58
Mexico,North America,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
Taiwan,Asia,aftertaste,7.17
Costa Rica,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
"Tanzania, United Republic Of",Africa,aftertaste,7.58
Indonesia,Asia,aftertaste,7.58
Ethiopia,Africa,aftertaste,7.5
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.33
Honduras,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.58
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.67
Mexico,North America,aftertaste,7.67
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.75
United States (Hawaii),North America,aftertaste,7.58
Indonesia,Asia,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.5
Costa Rica,Americas,aftertaste,7.42
Taiwan,Asia,aftertaste,7
Uganda,Africa,aftertaste,7.33
Thailand,Asia,aftertaste,7.75
El Salvador,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.75
"Tanzania, United Republic Of",Africa,aftertaste,7.58
Colombia,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.75
United States (Hawaii),North America,aftertaste,7.67
Colombia,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
United States (Hawaii),North America,aftertaste,7.42
Thailand,Asia,aftertaste,7.5
Mexico,North America,aftertaste,7.38
Colombia,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.5
Colombia,Americas,aftertaste,7.42
"Tanzania, United Republic Of",Africa,aftertaste,7.67
Mexico,North America,aftertaste,7.58
Costa Rica,Americas,aftertaste,7.42
United States (Hawaii),North America,aftertaste,7.83
Costa Rica,Americas,aftertaste,7.67
Peru,Americas,aftertaste,7.58
Haiti,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.17
United States (Hawaii),North America,aftertaste,7.58
Burundi,Africa,aftertaste,7.33
Colombia,Americas,aftertaste,7.67
United States (Hawaii),North America,aftertaste,7.83
United States (Hawaii),North America,aftertaste,7.58
Mexico,North America,aftertaste,7.42
Costa Rica,Americas,aftertaste,7.83
Costa Rica,Americas,aftertaste,7.42
Guatemala,Americas,aftertaste,7.42
Uganda,Africa,aftertaste,7.67
Brazil,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.67
Mexico,North America,aftertaste,7.5
Taiwan,Asia,aftertaste,7.5
Taiwan,Asia,aftertaste,7.75
Colombia,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.67
Mexico,North America,aftertaste,7.5
United States (Hawaii),North America,aftertaste,7.83
Mexico,North America,aftertaste,7.58
Mexico,North America,aftertaste,7.42
Guatemala,Americas,aftertaste,7.08
Brazil,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.25
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.5
Brazil,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.33
"Tanzania, United Republic Of",Africa,aftertaste,7.42
Peru,Americas,aftertaste,7.5
Vietnam,Asia,aftertaste,7.08
Guatemala,Americas,aftertaste,7.42
Honduras,Americas,aftertaste,7.5
China,Asia,aftertaste,7.33
China,Asia,aftertaste,7.5
El Salvador,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.42
Kenya,Africa,aftertaste,7.67
Thailand,Asia,aftertaste,7.58
"Tanzania, United Republic Of",Africa,aftertaste,7.67
Colombia,Americas,aftertaste,7.5
Uganda,Africa,aftertaste,7.5
Colombia,Americas,aftertaste,7.5
Honduras,Americas,aftertaste,7.5
Honduras,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.17
United States (Hawaii),North America,aftertaste,7.58
"Tanzania, United Republic Of",Africa,aftertaste,7.58
Guatemala,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.58
Mexico,North America,aftertaste,7.58
Mexico,North America,aftertaste,7.42
Colombia,Americas,aftertaste,7.5
Mexico,North America,aftertaste,7.42
Colombia,Americas,aftertaste,7.5
Mexico,North America,aftertaste,7.58
Brazil,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.67
Brazil,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.67
El Salvador,Americas,aftertaste,8.17
Ethiopia,Africa,aftertaste,7.67
Colombia,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.5
Brazil,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.67
Taiwan,Asia,aftertaste,7.5
Brazil,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.67
Costa Rica,Americas,aftertaste,7.5
United States (Hawaii),North America,aftertaste,7.58
Taiwan,Asia,aftertaste,7.5
United States (Hawaii),North America,aftertaste,7.33
Mexico,North America,aftertaste,7.42
United States (Hawaii),North America,aftertaste,7.5
United States (Hawaii),North America,aftertaste,7.58
Colombia,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.33
Indonesia,Asia,aftertaste,7.5
Guatemala,Americas,aftertaste,7.67
Brazil,Americas,aftertaste,7.5
Brazil,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.58
Uganda,Africa,aftertaste,7.42
Uganda,Africa,aftertaste,7.5
Colombia,Americas,aftertaste,7.33
Vietnam,Asia,aftertaste,7.58
Guatemala,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.25
Brazil,Americas,aftertaste,7.67
Taiwan,Asia,aftertaste,7.83
Uganda,Africa,aftertaste,7.5
United States (Puerto Rico),North America,aftertaste,7.67
Guatemala,Americas,aftertaste,7.42
Costa Rica,Americas,aftertaste,7.5
Brazil,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.42
Mexico,North America,aftertaste,7.42
Mexico,North America,aftertaste,7.5
Mexico,North America,aftertaste,7.5
Colombia,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
Guatemala,Americas,aftertaste,7.5
Colombia,Americas,aftertaste,7.58
Thailand,Asia,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
United States (Hawaii),North America,aftertaste,7.67
United States (Hawaii),North America,aftertaste,7.42
Colombia,Americas,aftertaste,7.67
Nicaragua,Americas,aftertaste,7.75
Thailand,Asia,aftertaste,7.42
Brazil,Americas,aftertaste,7.5
El Salvador,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.5
Taiwan,Asia,aftertaste,7.25
Ethiopia,Africa,aftertaste,7.5
Taiwan,Asia,aftertaste,7.67
Philippines,Asia,aftertaste,7.67
Philippines,Asia,aftertaste,7.67
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.42
Brazil,Americas,aftertaste,7.5
Uganda,Africa,aftertaste,7.5
Uganda,Africa,aftertaste,7.58
Guatemala,Americas,aftertaste,7.42
Guatemala,Americas,aftertaste,7.42
Guatemala,Americas,aftertaste,7.25
Colombia,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.25
Colombia,Americas,aftertaste,7.42
Mexico,North America,aftertaste,7.33
Vietnam,Asia,aftertaste,7.17
Mexico,North America,aftertaste,7.67
United States (Hawaii),North America,aftertaste,7.5
Colombia,Americas,aftertaste,7.33
Thailand,Asia,aftertaste,7.5
Kenya,Africa,aftertaste,7.42
Guatemala,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.58
El Salvador,Americas,aftertaste,7.67
Rwanda,Africa,aftertaste,7.75
Vietnam,Asia,aftertaste,7.5
Guatemala,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.5
United States,North America,aftertaste,7.25
Guatemala,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.5
"Tanzania, United Republic Of",Africa,aftertaste,7.33
Mexico,North America,aftertaste,7.5
Mexico,North America,aftertaste,7.42
Guatemala,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.5
El Salvador,Americas,aftertaste,7.75
Guatemala,Americas,aftertaste,7.42
Guatemala,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.17
Guatemala,Americas,aftertaste,7.42
Guatemala,Americas,aftertaste,7.42
Indonesia,Asia,aftertaste,7.42
Guatemala,Americas,aftertaste,7.33
Taiwan,Asia,aftertaste,7.33
El Salvador,Americas,aftertaste,7.17
Costa Rica,Americas,aftertaste,7.42
Honduras,Americas,aftertaste,7.42
Brazil,Americas,aftertaste,7.58
China,Asia,aftertaste,7.33
China,Asia,aftertaste,7.42
Colombia,Americas,aftertaste,7.58
Malawi,Africa,aftertaste,7.42
Guatemala,Americas,aftertaste,7.25
Colombia,Americas,aftertaste,7.42
United States (Hawaii),North America,aftertaste,7.42
United States (Hawaii),North America,aftertaste,7.75
Colombia,Americas,aftertaste,7.17
Mexico,North America,aftertaste,7.5
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,8
Colombia,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.58
United States (Hawaii),North America,aftertaste,7.5
Panama,Americas,aftertaste,7.5
United States (Hawaii),North America,aftertaste,7.5
Brazil,Americas,aftertaste,7.25
Brazil,Americas,aftertaste,7.5
Laos,Asia,aftertaste,7.42
El Salvador,Americas,aftertaste,7.67
Mexico,North America,aftertaste,7.42
Colombia,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.42
Brazil,Americas,aftertaste,7.58
"Tanzania, United Republic Of",Africa,aftertaste,7.5
"Tanzania, United Republic Of",Africa,aftertaste,7.5
Taiwan,Asia,aftertaste,7.83
Mexico,North America,aftertaste,7.42
Uganda,Africa,aftertaste,7.33
Taiwan,Asia,aftertaste,7.5
Thailand,Asia,aftertaste,7.5
Colombia,Americas,aftertaste,7.67
El Salvador,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.17
Thailand,Asia,aftertaste,7.83
Mexico,North America,aftertaste,7.42
Mexico,North America,aftertaste,7.58
Colombia,Americas,aftertaste,7.42
United States (Hawaii),North America,aftertaste,7.5
Mexico,North America,aftertaste,7.25
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.42
Taiwan,Asia,aftertaste,7.5
Brazil,Americas,aftertaste,7.42
Taiwan,Asia,aftertaste,7
Brazil,Americas,aftertaste,7.5
Indonesia,Asia,aftertaste,7.42
Thailand,Asia,aftertaste,7.42
Thailand,Asia,aftertaste,7.58
"Tanzania, United Republic Of",Africa,aftertaste,7.33
Uganda,Africa,aftertaste,7.42
Costa Rica,Americas,aftertaste,7.5
Mexico,North America,aftertaste,7.42
Guatemala,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.75
Colombia,Americas,aftertaste,7.42
Mexico,North America,aftertaste,7.5
Mexico,North America,aftertaste,7.58
Colombia,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.5
Indonesia,Asia,aftertaste,7.25
Honduras,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.33
Thailand,Asia,aftertaste,7.5
Thailand,Asia,aftertaste,7.5
"Tanzania, United Republic Of",Africa,aftertaste,7.33
"Tanzania, United Republic Of",Africa,aftertaste,7.42
Mexico,North America,aftertaste,7.5
Brazil,Americas,aftertaste,7.67
Guatemala,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.42
Guatemala,Americas,aftertaste,7.17
Mexico,North America,aftertaste,7.5
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.33
Guatemala,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.33
United States (Hawaii),North America,aftertaste,7.33
Guatemala,Americas,aftertaste,7.67
Honduras,Americas,aftertaste,7.17
Guatemala,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.08
Colombia,Americas,aftertaste,7.83
China,Asia,aftertaste,7.42
Brazil,Americas,aftertaste,7.33
"Tanzania, United Republic Of",Africa,aftertaste,7.42
Brazil,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.5
Mexico,North America,aftertaste,7.42
Brazil,Americas,aftertaste,7.33
Peru,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.25
Mexico,North America,aftertaste,7.5
Honduras,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.42
Mexico,North America,aftertaste,7.5
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.17
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.42
Colombia,Americas,aftertaste,7.25
Brazil,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.17
Colombia,Americas,aftertaste,7.42
Honduras,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.5
Brazil,Americas,aftertaste,7.42
Brazil,Americas,aftertaste,7.42
Costa Rica,Americas,aftertaste,7.25
Costa Rica,Americas,aftertaste,7.5
China,Asia,aftertaste,7.42
Brazil,Americas,aftertaste,7.25
Brazil,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.17
Malawi,Africa,aftertaste,7.42
Brazil,Americas,aftertaste,7.67
Guatemala,Americas,aftertaste,7.5
Mexico,North America,aftertaste,7.42
Colombia,Americas,aftertaste,7.5
Taiwan,Asia,aftertaste,7.5
Taiwan,Asia,aftertaste,7.5
Guatemala,Americas,aftertaste,7.58
Colombia,Americas,aftertaste,7.5
Mexico,North America,aftertaste,7.42
Costa Rica,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.58
Mexico,North America,aftertaste,7.5
Guatemala,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.42
Mexico,North America,aftertaste,7.33
Brazil,Americas,aftertaste,7.25
Colombia,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.25
Taiwan,Asia,aftertaste,7
Guatemala,Americas,aftertaste,7.25
Brazil,Americas,aftertaste,7.5
El Salvador,Americas,aftertaste,7.5
Honduras,Americas,aftertaste,7.42
Malawi,Africa,aftertaste,7.33
Brazil,Americas,aftertaste,7.42
Taiwan,Asia,aftertaste,7.5
Mexico,North America,aftertaste,7.42
United States (Hawaii),North America,aftertaste,7.5
Mexico,North America,aftertaste,7.5
Guatemala,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.42
Mexico,North America,aftertaste,7.33
El Salvador,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.42
Mexico,North America,aftertaste,7.42
Colombia,Americas,aftertaste,7.67
Colombia,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.42
Colombia,Americas,aftertaste,7.58
Brazil,Americas,aftertaste,7.5
Honduras,Americas,aftertaste,7.17
Nicaragua,Americas,aftertaste,7.33
"Tanzania, United Republic Of",Africa,aftertaste,7.42
"Tanzania, United Republic Of",Africa,aftertaste,7.42
Brazil,Americas,aftertaste,7.42
Thailand,Asia,aftertaste,7.17
Honduras,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.5
Brazil,Americas,aftertaste,7.42
"Tanzania, United Republic Of",Africa,aftertaste,7.42
Mexico,North America,aftertaste,7.17
Mexico,North America,aftertaste,7.33
Taiwan,Asia,aftertaste,7.5
Taiwan,Asia,aftertaste,7.5
Colombia,Americas,aftertaste,7.25
Mexico,North America,aftertaste,7
Guatemala,Americas,aftertaste,7
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.5
Colombia,Americas,aftertaste,7.42
Indonesia,Asia,aftertaste,7.42
Colombia,Americas,aftertaste,7.42
Brazil,Americas,aftertaste,7.42
Brazil,Americas,aftertaste,7.58
Costa Rica,Americas,aftertaste,7.42
"Tanzania, United Republic Of",Africa,aftertaste,7.42
"Tanzania, United Republic Of",Africa,aftertaste,7.5
Colombia,Americas,aftertaste,7.42
Costa Rica,Americas,aftertaste,7.33
United States (Hawaii),North America,aftertaste,7.58
Mexico,North America,aftertaste,7.5
Mexico,North America,aftertaste,7.42
Mexico,North America,aftertaste,7.25
Vietnam,Asia,aftertaste,7.17
Mexico,North America,aftertaste,7.25
United States (Hawaii),North America,aftertaste,7.33
Colombia,Americas,aftertaste,7.67
Honduras,Americas,aftertaste,7.17
Honduras,Americas,aftertaste,7.25
Brazil,Americas,aftertaste,7.42
"Tanzania, United Republic Of",Africa,aftertaste,7.33
Laos,Asia,aftertaste,7.25
"Tanzania, United Republic Of",Africa,aftertaste,7.33
Malawi,Africa,aftertaste,7.33
Taiwan,Asia,aftertaste,7.17
Thailand,Asia,aftertaste,7.42
Costa Rica,Americas,aftertaste,7.33
Honduras,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.58
Taiwan,Asia,aftertaste,7.33
Brazil,Americas,aftertaste,7.42
Mexico,North America,aftertaste,7.25
Brazil,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,7.17
Guatemala,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,7.08
Guatemala,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.25
Honduras,Americas,aftertaste,7.25
Brazil,Americas,aftertaste,7.33
El Salvador,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.17
"Tanzania, United Republic Of",Africa,aftertaste,7.33
Nicaragua,Americas,aftertaste,7.25
Zambia,Africa,aftertaste,7.42
Honduras,Americas,aftertaste,7.33
Taiwan,Asia,aftertaste,7.42
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.17
Mexico,North America,aftertaste,7.33
Brazil,Americas,aftertaste,7.25
Colombia,Americas,aftertaste,7.33
Guatemala,Americas,aftertaste,7.25
Costa Rica,Americas,aftertaste,7.5
Brazil,Americas,aftertaste,7.42
Indonesia,Asia,aftertaste,7.58
Guatemala,Americas,aftertaste,7.33
Brazil,Americas,aftertaste,6.83
Brazil,Americas,aftertaste,6.92
Myanmar,Asia,aftertaste,7.5
Mexico,North America,aftertaste,7.33
Honduras,Americas,aftertaste,7.33
Costa Rica,Americas,aftertaste,7.5
Taiwan,Asia,aftertaste,7.17
Indonesia,Asia,aftertaste,7.42
Malawi,Africa,aftertaste,7.33
Brazil,Americas,aftertaste,7.25
Honduras,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.25
Colombia,Americas,aftertaste,7
United States (Hawaii),North America,aftertaste,7.83
Brazil,Americas,aftertaste,7.5
Guatemala,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.25
Brazil,Americas,aftertaste,7.25
Colombia,Americas,aftertaste,7.17
United States (Hawaii),North America,aftertaste,7.83
Guatemala,Americas,aftertaste,7.25
Vietnam,Asia,aftertaste,7.33
"Tanzania, United Republic Of",Africa,aftertaste,7.42
Brazil,Americas,aftertaste,7.17
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.17
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.25
Colombia,Americas,aftertaste,7.33
Colombia,Americas,aftertaste,6.92
Brazil,Americas,aftertaste,7.25
Guatemala,Americas,aftertaste,7.08
Guatemala,Americas,aftertaste,7.17
Honduras,Americas,aftertaste,7.33
"Tanzania, United Republic Of",Africa,aftertaste,7.33
Nicaragua,Americas,aftertaste,7.25
Colombia,Americas,aftertaste,7.75
Brazil,Americas,aftertaste,6.92
"Tanzania, United Republic Of",Africa,aftertaste,7.25
"Tanzania, United Republic Of",Africa,aftertaste,7.5
Brazil,Americas,aftertaste,7.25
Indonesia,Asia,aftertaste,7.33
Honduras,Americas,aftertaste,7.5
Costa Rica,Americas,aftertaste,7.17
Mexico,North America,aftertaste,7.67
Taiwan,Asia,aftertaste,7.5
Taiwan,Asia,aftertaste,7.33
Mexico,North America,aftertaste,7.08
Guatemala,Americas,aftertaste,7.33
Mexico,North America,aftertaste,7.58
Mexico,North America,aftertaste,7.17
Mexico,North America,aftertaste,7.33
Mexico,North America,aftertaste,7.25
Mexico,North America,aftertaste,7.25
United States (Hawaii),North America,aftertaste,7.33
Honduras,Americas,aftertaste,7.08
Guatemala,Americas,aftertaste,7.08
